
Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	0.10000	55.500	0.018018	3.3200e-05	0.0018350	0.00012137	75.970	76.014	1402.4	-0.24141	1791.1	0.55567	liquid
275.54	0.10000	55.506	0.018016	0.18114	0.18294	0.66025	75.871	75.878	1414.1	-0.23913	1651.7	0.56163	liquid
277.93	0.10000	55.507	0.018016	0.36195	0.36375	1.3136	75.763	75.764	1425.2	-0.23695	1528.8	0.56728	liquid
280.31	0.10000	55.503	0.018017	0.54251	0.54431	1.9605	75.645	75.670	1435.6	-0.23487	1420.0	0.57268	liquid
282.70	0.10000	55.494	0.018020	0.72286	0.72467	2.6012	75.519	75.590	1445.5	-0.23287	1323.0	0.57783	liquid
285.08	0.10000	55.481	0.018024	0.90305	0.90485	3.2359	75.386	75.525	1454.8	-0.23095	1236.3	0.58276	liquid
287.47	0.10000	55.464	0.018030	1.0831	1.0849	3.8648	75.245	75.470	1463.5	-0.22910	1158.4	0.58749	liquid
289.85	0.10000	55.443	0.018036	1.2630	1.2648	4.4881	75.098	75.425	1471.8	-0.22730	1088.1	0.59202	liquid
292.24	0.10000	55.419	0.018044	1.4428	1.4446	5.1059	74.944	75.389	1479.5	-0.22557	1024.4	0.59639	liquid
294.62	0.10000	55.391	0.018053	1.6226	1.6244	5.7185	74.785	75.360	1486.8	-0.22388	966.49	0.60059	liquid
297.01	0.10000	55.360	0.018063	1.8023	1.8041	6.3259	74.620	75.337	1493.6	-0.22224	913.69	0.60463	liquid
299.39	0.10000	55.326	0.018075	1.9819	1.9837	6.9283	74.450	75.319	1500.0	-0.22064	865.40	0.60853	liquid
301.78	0.10000	55.290	0.018087	2.1615	2.1633	7.5258	74.276	75.306	1505.9	-0.21908	821.09	0.61229	liquid
304.16	0.10000	55.250	0.018100	2.3411	2.3429	8.1186	74.096	75.297	1511.5	-0.21755	780.35	0.61591	liquid
306.55	0.10000	55.207	0.018114	2.5206	2.5224	8.7066	73.913	75.292	1516.6	-0.21605	742.77	0.61941	liquid
308.93	0.10000	55.162	0.018128	2.7002	2.7020	9.2900	73.725	75.290	1521.4	-0.21458	708.05	0.62279	liquid
311.32	0.10000	55.115	0.018144	2.8797	2.8815	9.8690	73.533	75.291	1525.8	-0.21313	675.88	0.62605	liquid
313.70	0.10000	55.065	0.018160	3.0593	3.0611	10.444	73.338	75.294	1529.8	-0.21171	646.03	0.62920	liquid
316.09	0.10000	55.012	0.018178	3.2388	3.2406	11.014	73.139	75.300	1533.5	-0.21031	618.27	0.63224	liquid
318.47	0.10000	54.958	0.018196	3.4184	3.4202	11.580	72.938	75.308	1536.9	-0.20892	592.40	0.63517	liquid
320.85	0.10000	54.901	0.018215	3.5980	3.5998	12.142	72.733	75.317	1539.9	-0.20755	568.26	0.63800	liquid
323.24	0.10000	54.842	0.018234	3.7776	3.7794	12.699	72.525	75.329	1542.7	-0.20620	545.70	0.64072	liquid
325.62	0.10000	54.781	0.018254	3.9573	3.9591	13.253	72.315	75.342	1545.1	-0.20485	524.57	0.64335	liquid
328.01	0.10000	54.718	0.018275	4.1370	4.1388	13.803	72.102	75.356	1547.3	-0.20352	504.76	0.64587	liquid
330.39	0.10000	54.653	0.018297	4.3167	4.3185	14.349	71.888	75.372	1549.1	-0.20219	486.16	0.64831	liquid
332.78	0.10000	54.586	0.018320	4.4964	4.4983	14.891	71.671	75.390	1550.7	-0.20087	468.67	0.65064	liquid
335.16	0.10000	54.518	0.018343	4.6762	4.6781	15.429	71.453	75.409	1552.1	-0.19956	452.20	0.65289	liquid
337.55	0.10000	54.447	0.018367	4.8561	4.8579	15.964	71.233	75.430	1553.2	-0.19825	436.68	0.65504	liquid
339.93	0.10000	54.375	0.018391	5.0360	5.0378	16.495	71.012	75.453	1554.0	-0.19694	422.04	0.65711	liquid
342.32	0.10000	54.300	0.018416	5.2160	5.2178	17.023	70.790	75.477	1554.6	-0.19563	408.20	0.65909	liquid
344.70	0.10000	54.225	0.018442	5.3960	5.3978	17.547	70.566	75.502	1555.0	-0.19432	395.11	0.66098	liquid
347.09	0.10000	54.147	0.018468	5.5761	5.5779	18.068	70.342	75.529	1555.1	-0.19301	382.73	0.66278	liquid
349.47	0.10000	54.068	0.018495	5.7562	5.7581	18.585	70.118	75.558	1555.0	-0.19170	370.99	0.66450	liquid
351.86	0.10000	53.987	0.018523	5.9364	5.9383	19.099	69.893	75.588	1554.7	-0.19038	359.85	0.66614	liquid
354.24	0.10000	53.905	0.018551	6.1167	6.1186	19.609	69.667	75.621	1554.2	-0.18905	349.28	0.66769	liquid
356.63	0.10000	53.821	0.018580	6.2971	6.2990	20.117	69.442	75.655	1553.4	-0.18772	339.24	0.66917	liquid
359.01	0.10000	53.735	0.018610	6.4776	6.4794	20.621	69.216	75.691	1552.5	-0.18638	329.68	0.67056	liquid
361.40	0.10000	53.648	0.018640	6.6581	6.6600	21.122	68.990	75.729	1551.4	-0.18503	320.59	0.67187	liquid
363.78	0.10000	53.559	0.018671	6.8387	6.8406	21.621	68.765	75.769	1550.1	-0.18367	311.93	0.67311	liquid
