Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	30.000	56.315	0.017757	0.0059237	0.53864	0.0075409	73.698	73.712	1451.5	-0.23850	1733.3	0.57695	liquid
275.37	30.000	56.309	0.017759	0.16903	0.70180	0.60246	73.678	73.724	1462.3	-0.23654	1613.8	0.58172	liquid
277.59	30.000	56.299	0.017762	0.33213	0.86500	1.1927	73.645	73.738	1472.6	-0.23468	1506.8	0.58632	liquid
279.80	30.000	56.286	0.017766	0.49524	1.0282	1.7784	73.598	73.754	1482.4	-0.23290	1410.8	0.59076	liquid
282.01	30.000	56.270	0.017772	0.65835	1.1915	2.3596	73.541	73.771	1491.7	-0.23120	1324.2	0.59506	liquid
284.23	30.000	56.250	0.017778	0.82147	1.3548	2.9364	73.474	73.790	1500.6	-0.22956	1245.9	0.59921	liquid
286.44	30.000	56.228	0.017785	0.98461	1.5181	3.5089	73.397	73.809	1509.0	-0.22799	1174.7	0.60324	liquid
288.65	30.000	56.204	0.017792	1.1478	1.6815	4.0772	73.313	73.830	1517.0	-0.22647	1109.8	0.60715	liquid
290.87	30.000	56.177	0.017801	1.3109	1.8450	4.6412	73.220	73.852	1524.5	-0.22500	1050.5	0.61094	liquid
293.08	30.000	56.147	0.017810	1.4742	2.0085	5.2011	73.120	73.874	1531.7	-0.22358	996.10	0.61463	liquid
295.29	30.000	56.115	0.017821	1.6374	2.1720	5.7570	73.014	73.896	1538.5	-0.22219	946.11	0.61821	liquid
297.51	30.000	56.081	0.017831	1.8006	2.3356	6.3090	72.901	73.919	1544.9	-0.22084	900.05	0.62170	liquid
299.72	30.000	56.044	0.017843	1.9639	2.4992	6.8570	72.782	73.942	1550.9	-0.21952	857.50	0.62509	liquid
301.93	30.000	56.006	0.017855	2.1273	2.6629	7.4011	72.658	73.966	1556.6	-0.21824	818.11	0.62838	liquid
304.15	30.000	55.966	0.017868	2.2906	2.8267	7.9414	72.529	73.989	1561.9	-0.21698	781.56	0.63159	liquid
306.36	30.000	55.923	0.017882	2.4540	2.9905	8.4780	72.395	74.013	1566.9	-0.21574	747.58	0.63471	liquid
