Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Surf. Tension (N/m);Phase
27.316.000;0.00061165477;55.496.955;0.018019007;-1,52E-05;1,10E+02;-5,32E-05;75.978.165;76.022.837;14.022.721;-0.24142135;17.913.579;0.55559854;0.075646271;liquid
27.378.323;0.00063991729;55.499.112;0.018018306;0.047367508;0.047379038;0.17320822;75.953.412;75.984.753;14.053.917;-0.24081370;17.531.229;0.55718473;0.075559081;liquid
27.440.645;0.00066933115;55.500.884;0.018017731;0.094711830;0.094723890;0.34593802;75.927.912;75.948.422;14.084.660;-0.24021394;17.161.773;0.55874926;0.075471661;liquid
27.502.968;0.00069993618;55.502.280;0.018017278;0.14203403;0.14204664;0.51819545;75.901.686;75.913.760;14.114.954;-0.23962182;16.804.624;0.56029275;0.075384010;liquid
27.565.291;0.00073177416;55.503.308;0.018016944;0.18933513;0.18934832;0.68998632;75.874.755;75.880.687;14.144.806;-0.23903712;16.459.229;0.56181576;0.075296129;liquid
27.627.613;0.00076488737;55.503.975;0.018016728;0.23661609;0.23662987;0.86131626;75.847.136;75.849.127;14.174.221;-0.23845961;16.125.066;0.56331883;0.075208019;liquid
27.689.936;0.00079931906;55.504.288;0.018016626;0.28387783;0.28389223;10.321.907;75.818.850;75.819.010;14.203.203;-0.23788908;15.801.643;0.56480251;0.075119679;liquid
27.752.259;0.00083511497;55.504.255;0.018016637;0.33112124;0.33113628;12.026.147;75.789.912;75.790.269;14.231.759;-0.23732532;15.488.492;0.56626729;0.075031110;liquid
27.814.581;0.00087232035;55.503.882;0.018016758;0.37834714;0.37836285;13.725.936;75.760.341;75.762.843;14.259.893;-0.23676814;15.185.174;0.56771365;0.074942311;liquid
27.876.904;0.00091098311;55.503.175;0.018016987;0.42555634;0.42557275;15.421.319;75.730.152;75.736.672;14.287.610;-0.23621733;14.891.271;0.56914206;0.074853285;liquid
27.939.227;0.00095115216;55.502.141;0.018017323;0.47274960;0.47276674;17.112.346;75.699.359;75.711.701;14.314.916;-0.23567272;14.606.388;0.57055296;0.074764030;liquid
28.001.549;0.00099287693;55.500.786;0.018017763;0.51992766;0.51994555;18.799.062;75.667.979;75.687.876;14.341.815;-0.23513412;14.330.149;0.57194678;0.074674546;liquid
28.063.872;0.0010362091;55.499.116;0.018018305;0.56709122;0.56710989;20.481.510;75.636.024;75.665.148;14.368.312;-0.23460136;14.062.200;0.57332393;0.074584835;liquid
28.126.195;0.0010812014;55.497.135;0.018018948;0.61424093;0.61426042;22.159.733;75.603.509;75.643.471;14.394.412;-0.23407428;13.802.204;0.57468480;0.074494897;liquid
28.188.517;0.0011279080;55.494.851;0.018019690;0.66137745;0.66139778;23.833.773;75.570.445;75.622.798;14.420.118;-0.23355271;13.549.841;0.57602976;0.074404731;liquid
28.250.840;0.0011763846;55.492.267;0.018020529;0.70850139;0.70852259;25.503.670;75.536.845;75.603.089;14.445.437;-0.23303650;13.304.808;0.57735919;0.074314338;liquid
28.313.163;0.0012266875;55.489.390;0.018021463;0.75561333;0.75563543;27.169.463;75.502.721;75.584.303;14.470.371;-0.23252550;13.066.815;0.57867342;0.074223719;liquid
28.375.485;0.0012788762;55.486.224;0.018022492;0.80271383;0.80273688;28.831.190;75.468.084;75.566.401;14.494.926;-0.23201956;12.835.588;0.57997279;0.074132873;liquid
28.437.808;0.0013330099;55.482.773;0.018023612;0.84980344;0.84982747;30.488.888;75.432.943;75.549.348;14.519.106;-0.23151855;12.610.867;0.58125762;0.074041801;liquid
28.500.131;0.0013891505;55.479.043;0.018024824;0.89688268;0.89690771;32.142.592;75.397.311;75.533.109;14.542.914;-0.23102233;12.392.403;0.58252821;0.073950504;liquid
28.562.453;0.0014473609;55.475.037;0.018026126;0.94395203;0.94397812;33.792.338;75.361.195;75.517.650;14.566.354;-0.23053077;12.179.959;0.58378487;0.073858981;liquid
28.624.776;0.0015077057;55.470.761;0.018027515;0.99101198;0.99103916;35.438.159;75.324.607;75.502.941;14.589.432;-0.23004374;11.973.310;0.58502788;0.073767232;liquid
28.687.099;0.0015702515;55.466.218;0.018028992;10.380.630;10.380.913;37.080.088;75.287.553;75.488.952;14.612.150;-0.22956113;11.772.242;0.58625752;0.073675259;liquid
28.749.421;0.0016350662;55.461.413;0.018030554;10.851.055;10.851.350;38.718.158;75.250.044;75.475.654;14.634.513;-0.22908280;11.576.550;0.58747403;0.073583061;liquid
28.811.744;0.0017022190;55.456.349;0.018032200;11.321.399;11.321.706;40.352.400;75.212.088;75.463.021;14.656.524;-0.22860866;11.386.038;0.58867769;0.073490638;liquid
28.874.067;0.0017717816;55.451.031;0.018033930;11.791.666;11.791.986;41.982.845;75.173.691;75.451.025;14.678.187;-0.22813859;11.200.521;0.58986873;0.073397992;liquid
28.936.389;0.0018438268;55.445.461;0.018035741;12.261.861;12.262.193;43.609.522;75.134.863;75.439.643;14.699.506;-0.22767248;11.019.820;0.59104738;0.073305121;liquid
28.998.712;0.0019184297;55.439.645;0.018037634;12.731.986;12.732.332;45.232.461;75.095.611;75.428.850;14.720.484;-0.22721023;10.843.765;0.59221388;0.073212027;liquid
29.061.035;0.0019956668;55.433.584;0.018039606;13.202.046;13.202.406;46.851.689;75.055.940;75.418.624;14.741.125;-0.22675175;10.672.195;0.59336843;0.073118710;liquid
29.123.357;0.0020756162;55.427.283;0.018041656;13.672.044;13.672.418;48.467.236;75.015.860;75.408.943;14.761.432;-0.22629692;10.504.953;0.59451125;0.073025170;liquid
29.185.680;0.0021583588;55.420.745;0.018043785;14.141.983;14.142.372;50.079.127;74.975.375;75.399.787;14.781.409;-0.22584567;10.341.892;0.59564255;0.072931408;liquid
29.248.003;0.0022439761;55.413.973;0.018045990;14.611.866;14.612.271;51.687.390;74.934.493;75.391.135;14.801.060;-0.22539789;10.182.869;0.59676250;0.072837423;liquid
29.310.325;0.0023325527;55.406.971;0.018048271;15.081.697;15.082.118;53.292.051;74.893.219;75.382.970;14.820.386;-0.22495350;10.027.748;0.59787131;0.072743216;liquid
29.372.648;0.0024241741;55.399.741;0.018050626;15.551.479;15.551.916;54.893.135;74.851.561;75.375.271;14.839.393;-0.22451241;98.763.997;0.59896914;0.072648787;liquid
29.434.971;0.0025189286;55.392.286;0.018053055;16.021.213;16.021.668;56.490.666;74.809.523;75.368.023;14.858.082;-0.22407454;97.286.989;0.60005618;0.072554136;liquid
29.497.293;0.0026169061;55.384.610;0.018055557;16.490.904;16.491.377;58.084.669;74.767.111;75.361.207;14.876.458;-0.22363981;95.845.261;0.60113258;0.072459265;liquid
29.559.616;0.0027181987;55.376.714;0.018058132;16.960.554;16.961.045;59.675.169;74.724.332;75.354.810;14.894.523;-0.22320813;94.437.669;0.60219852;0.072364173;liquid
29.621.939;0.0028229005;55.368.603;0.018060777;17.430.165;17.430.675;61.262.188;74.681.190;75.348.814;14.912.280;-0.22277944;93.063.114;0.60325415;0.072268860;liquid
29.684.261;0.0029311075;55.360.278;0.018063493;17.899.740;17.900.269;62.845.749;74.637.690;75.343.205;14.929.733;-0.22235366;91.720.542;0.60429961;0.072173326;liquid
29.746.584;0.0030429181;55.351.743;0.018066279;18.369.281;18.369.830;64.425.875;74.593.839;75.337.970;14.946.884;-0.22193071;90.408.943;0.60533505;0.072077573;liquid
29.808.907;0.0031584327;55.342.999;0.018069133;18.838.790;18.839.361;66.002.588;74.549.640;75.333.095;14.963.737;-0.22151052;89.127.346;0.60636061;0.071981600;liquid
29.871.229;0.0032777543;55.334.049;0.018072055;19.308.270;19.308.862;67.575.909;74.505.100;75.328.566;14.980.294;-0.22109302;87.874.819;0.60737643;0.071885408;liquid
29.933.552;0.0034009873;55.324.896;0.018075045;19.777.722;19.778.337;69.145.860;74.460.222;75.324.372;14.996.558;-0.22067815;86.650.466;0.60838263;0.071788997;liquid
29.995.875;0.0035282392;55.315.542;0.018078102;20.247.150;20.247.788;70.712.462;74.415.013;75.320.501;15.012.532;-0.22026584;85.453.427;0.60937934;0.071692366;liquid
30.058.197;0.0036596191;55.305.989;0.018081224;20.716.554;20.717.216;72.275.734;74.369.475;75.316.940;15.028.219;-0.21985603;84.282.875;0.61036668;0.071595518;liquid
30.120.520;0.0037952391;55.296.240;0.018084412;21.185.937;21.186.623;73.835.698;74.323.615;75.313.681;15.043.622;-0.21944864;83.138.014;0.61134477;0.071498451;liquid
30.182.843;0.0039352132;55.286.296;0.018087665;21.655.300;21.656.012;75.392.372;74.277.437;75.310.711;15.058.743;-0.21904363;82.018.079;0.61231372;0.071401166;liquid
30.245.165;0.0040796576;55.276.161;0.018090982;22.124.645;22.125.383;76.945.777;74.230.945;75.308.021;15.073.586;-0.21864093;80.922.334;0.61327364;0.071303664;liquid
30.307.488;0.0042286915;55.265.835;0.018094362;22.593.975;22.594.740;78.495.931;74.184.143;75.305.601;15.088.152;-0.21824048;79.850.070;0.61422463;0.071205944;liquid
30.369.811;0.0043824362;55.255.321;0.018097804;23.063.290;23.064.083;80.042.853;74.137.037;75.303.443;15.102.444;-0.21784223;78.800.605;0.61516680;0.071108008;liquid
30.432.133;0.0045410154;55.244.622;0.018101310;23.532.592;23.533.414;81.586.562;74.089.631;75.301.537;15.116.465;-0.21744612;77.773.282;0.61610025;0.071009854;liquid
30.494.456;0.0047045557;55.233.738;0.018104876;24.001.883;24.002.735;83.127.076;74.041.928;75.299.876;15.130.218;-0.21705209;76.767.467;0.61702506;0.070911485;liquid
30.556.779;0.0048731857;55.222.673;0.018108504;24.471.164;24.472.047;84.664.413;73.993.934;75.298.450;15.143.705;-0.21666009;75.782.551;0.61794133;0.070812899;liquid
30.619.101;0.0050470369;55.211.427;0.018112193;24.940.437;24.941.351;86.198.590;73.945.652;75.297.253;15.156.929;-0.21627007;74.817.945;0.61884916;0.070714098;liquid
30.681.424;0.0052262437;55.200.002;0.018115941;25.409.703;25.410.650;87.729.625;73.897.087;75.296.277;15.169.892;-0.21588197;73.873.082;0.61974862;0.070615081;liquid
