Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Phase
27.316.000;0.00061165477;0.00026947008;37.109.871;42.784.814;45.054.657;16.493.867;25.552.562;33.947.107;40.899.952;59.264.682;89.457.815;0.016760576;vapor
27.378.323;0.00063991735;0.00028128439;35.551.208;42.800.271;45.075.255;16.463.864;25.561.846;33.958.238;40.945.151;58.097.449;89.636.211;0.016800579;vapor
27.440.645;0.00066933114;0.00029355046;34.065.694;42.815.724;45.095.847;16.434.034;25.571.176;33.969.442;40.990.283;56.954.645;89.815.195;0.016840668;vapor
27.502.968;0.00069993630;0.00030628283;32.649.561;42.831.174;45.116.435;16.404.378;25.580.552;33.980.717;41.035.350;55.835.866;89.994.758;0.016880843;vapor
27.565.291;0.00073177416;0.00031949643;31.299.254;42.846.619;45.137.018;16.374.892;25.589.972;33.992.061;41.080.352;54.740.707;90.174.895;0.016921104;vapor
27.627.613;0.00076488720;0.00033320656;30.011.414;42.862.061;45.157.596;16.345.577;25.599.435;34.003.474;41.125.288;53.668.768;90.355.598;0.016961451;vapor
27.689.936;0.00079931910;0.00034742890;28.782.868;42.877.500;45.178.169;16.316.430;25.608.938;34.014.953;41.170.160;52.619.646;90.536.860;0.017001884;vapor
27.752.259;0.00083511476;0.00036217952;27.610.617;42.892.934;45.198.737;16.287.450;25.618.481;34.026.498;41.214.968;51.592.944;90.718.675;0.017042404;vapor
27.814.581;0.00087232030;0.00037747491;26.491.827;42.908.365;45.219.300;16.258.637;25.628.061;34.038.107;41.259.711;50.588.265;90.901.037;0.017083010;vapor
27.876.904;0.00091098315;0.00039333192;25.423.820;42.923.791;45.239.858;16.229.989;25.637.679;34.049.779;41.304.391;49.605.216;91.083.939;0.017123702;vapor
27.939.227;0.00095115200;0.00040976785;24.404.062;42.939.213;45.260.411;16.201.504;25.647.331;34.061.514;41.349.006;48.643.404;91.267.374;0.017164482;vapor
28.001.549;0.00099287686;0.00042680040;23.430.156;42.954.632;45.280.958;16.173.182;25.657.018;34.073.310;41.393.558;47.702.442;91.451.337;0.017205348;vapor
28.063.872;0.0010362091;0.00044444769;22.499.836;42.970.046;45.301.499;16.145.021;25.666.738;34.085.166;41.438.047;46.781.942;91.635.822;0.017246301;vapor
28.126.195;0.0010812015;0.00046272828;21.610.955;42.985.456;45.322.035;16.117.020;25.676.490;34.097.081;41.482.473;45.881.523;91.820.821;0.017287341;vapor
28.188.517;0.0011279081;0.00048166117;20.761.483;43.000.861;45.342.565;16.089.178;25.686.273;34.109.055;41.526.835;45.000.804;92.006.330;0.017328468;vapor
28.250.840;0.0011763844;0.00050126579;19.949.496;43.016.262;45.363.090;16.061.493;25.696.086;34.121.087;41.571.135;44.139.410;92.192.341;0.017369683;vapor
28.313.163;0.0012266876;0.00052156203;19.173.175;43.031.659;45.383.608;16.033.965;25.705.927;34.133.177;41.615.372;43.296.966;92.378.850;0.017410985;vapor
28.375.485;0.0012788761;0.00054257023;18.430.794;43.047.051;45.404.121;16.006.592;25.715.798;34.145.324;41.659.546;42.473.105;92.565.850;0.017452374;vapor
28.437.808;0.0013330098;0.00056431121;17.720.718;43.062.438;45.424.627;15.979.374;25.725.695;34.157.527;41.703.658;41.667.460;92.753.336;0.017493852;vapor
28.500.131;0.0013891504;0.00058680625;17.041.400;43.077.821;45.445.127;15.952.308;25.735.620;34.169.786;41.747.708;40.879.670;92.941.302;0.017535418;vapor
28.562.453;0.0014473608;0.00061007710;16.391.371;43.093.198;45.465.621;15.925.395;25.745.571;34.182.102;41.791.695;40.109.378;93.129.742;0.017577071;vapor
28.624.776;0.0015077057;0.00063414602;15.769.239;43.108.571;45.486.108;15.898.632;25.755.548;34.194.473;41.835.621;39.356.228;93.318.651;0.017618814;vapor
28.687.099;0.0015702515;0.00065903574;15.173.684;43.123.939;45.506.589;15.872.019;25.765.551;34.206.901;41.879.484;38.619.873;93.508.023;0.017660644;vapor
28.749.421;0.0016350660;0.00068476950;14.603.454;43.139.302;45.527.064;15.845.555;25.775.578;34.219.384;41.923.285;37.899.966;93.697.853;0.017702564;vapor
28.811.744;0.0017022190;0.00071137103;14.057.362;43.154.660;45.547.531;15.819.238;25.785.631;34.231.923;41.967.024;37.196.168;93.888.135;0.017744573;vapor
28.874.067;0.0017717816;0.00073886460;13.534.279;43.170.013;45.567.991;15.793.067;25.795.708;34.244.519;42.010.701;36.508.141;94.078.865;0.017786671;vapor
28.936.389;0.0018438269;0.00076727498;13.033.137;43.185.360;45.588.445;15.767.042;25.805.810;34.257.172;42.054.316;35.835.553;94.270.036;0.017828858;vapor
28.998.712;0.0019184298;0.00079662748;12.552.919;43.200.702;45.608.891;15.741.162;25.815.937;34.269.882;42.097.869;35.178.078;94.461.643;0.017871135;vapor
29.061.035;0.0019956668;0.00082694793;12.092.660;43.216.039;45.629.331;15.715.424;25.826.088;34.282.649;42.141.359;34.535.393;94.653.682;0.017913503;vapor
29.123.357;0.0020756164;0.00085826271;11.651.444;43.231.370;45.649.762;15.689.829;25.836.264;34.295.475;42.184.788;33.907.180;94.846.147;0.017955960;vapor
29.185.680;0.0021583588;0.00089059874;11.228.401;43.246.695;45.670.187;15.664.375;25.846.466;34.308.360;42.228.155;33.293.124;95.039.033;0.017998508;vapor
29.248.003;0.0022439762;0.00092398351;10.822.704;43.262.014;45.690.603;15.639.061;25.856.692;34.321.305;42.271.459;32.692.919;95.232.336;0.018041147;vapor
29.310.325;0.0023325526;0.00095844507;10.433.566;43.277.328;45.711.012;15.613.886;25.866.945;34.334.310;42.314.702;32.106.260;95.426.049;0.018083877;vapor
29.372.648;0.0024241741;0.00099401201;10.060.241;43.292.636;45.731.413;15.588.849;25.877.224;34.347.378;42.357.882;31.532.847;95.620.169;0.018126699;vapor
29.434.971;0.0025189286;0.0010307135;97.020.167;43.307.938;45.751.806;15.563.950;25.887.529;34.360.508;42.400.999;30.972.388;95.814.690;0.018169613;vapor
29.497.293;0.0026169062;0.0010685794;93.582.188;43.323.233;45.772.191;15.539.186;25.897.862;34.373.702;42.444.054;30.424.593;96.009.608;0.018212618;vapor
29.559.616;0.0027181988;0.0011076400;90.282.040;43.338.523;45.792.568;15.514.558;25.908.223;34.386.962;42.487.046;29.889.177;96.204.917;0.018255716;vapor
29.621.939;0.0028229005;0.0011479263;87.113.608;43.353.806;45.812.936;15.490.064;25.918.613;34.400.288;42.529.975;29.365.862;96.400.613;0.018298907;vapor
29.684.261;0.0029311075;0.0011894698;84.071.071;43.369.082;45.833.296;15.465.704;25.929.033;34.413.683;42.572.841;28.854.372;96.596.692;0.018342191;vapor
29.746.584;0.0030429181;0.0012323027;81.148.892;43.384.352;45.853.647;15.441.475;25.939.483;34.427.147;42.615.644;28.354.437;96.793.148;0.018385569;vapor
29.808.907;0.0031584328;0.0012764578;78.341.796;43.399.616;45.873.989;15.417.378;25.949.965;34.440.683;42.658.384;27.865.794;96.989.977;0.018429040;vapor
29.871.229;0.0032777542;0.0013219686;75.644.762;43.414.873;45.894.322;15.393.411;25.960.480;34.454.291;42.701.060;27.388.182;97.187.175;0.018472606;vapor
29.933.552;0.0034009873;0.0013688690;73.053.008;43.430.122;45.914.646;15.369.574;25.971.028;34.467.975;42.743.672;26.921.345;97.384.736;0.018516266;vapor
29.995.875;0.0035282391;0.0014171938;70.561.979;43.445.365;45.934.961;15.345.865;25.981.611;34.481.735;42.786.220;26.465.034;97.582.657;0.018560022;vapor
