
Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16000	0.00061165477	0.00026947008	3710.9871	42.784814	45.054657	164.93867	25.552562	33.947107	408.99952	592.64682	8.9457815	0.016760576	vapor
273.78323	0.00063991735	0.00028128439	3555.1208	42.800271	45.075255	164.63864	25.561846	33.958238	409.45151	580.97449	8.9636211	0.016800579	vapor
274.40645	0.00066933114	0.00029355046	3406.5694	42.815724	45.095847	164.34034	25.571176	33.969442	409.90283	569.54645	8.9815195	0.016840668	vapor
275.02968	0.00069993630	0.00030628283	3264.9561	42.831174	45.116435	164.04378	25.580552	33.980717	410.35350	558.35866	8.9994758	0.016880843	vapor
275.65291	0.00073177416	0.00031949643	3129.9254	42.846619	45.137018	163.74892	25.589972	33.992061	410.80352	547.40707	9.0174895	0.016921104	vapor
276.27613	0.00076488720	0.00033320656	3001.1414	42.862061	45.157596	163.45577	25.599435	34.003474	411.25288	536.68768	9.0355598	0.016961451	vapor
276.89936	0.00079931910	0.00034742890	2878.2868	42.877500	45.178169	163.16430	25.608938	34.014953	411.70160	526.19646	9.0536860	0.017001884	vapor
277.52259	0.00083511475	0.00036217952	2761.0617	42.892934	45.198737	162.87450	25.618481	34.026498	412.14968	515.92944	9.0718675	0.017042404	vapor
278.14581	0.00087232030	0.00037747490	2649.1827	42.908365	45.219300	162.58637	25.628061	34.038107	412.59711	505.88265	9.0901037	0.017083010	vapor
278.76904	0.00091098315	0.00039333192	2542.3820	42.923791	45.239858	162.29989	25.637679	34.049779	413.04391	496.05216	9.1083939	0.017123702	vapor
279.39227	0.00095115200	0.00040976785	2440.4062	42.939213	45.260411	162.01504	25.647331	34.061514	413.49006	486.43404	9.1267374	0.017164482	vapor
280.01549	0.00099287686	0.00042680040	2343.0156	42.954632	45.280958	161.73182	25.657018	34.073310	413.93558	477.02442	9.1451337	0.017205348	vapor
280.63872	0.0010362091	0.00044444769	2249.9836	42.970046	45.301499	161.45021	25.666738	34.085166	414.38047	467.81942	9.1635822	0.017246301	vapor
281.26195	0.0010812015	0.00046272828	2161.0955	42.985456	45.322035	161.17020	25.676490	34.097081	414.82473	458.81523	9.1820821	0.017287341	vapor
281.88517	0.0011279080	0.00048166117	2076.1483	43.000861	45.342565	160.89178	25.686273	34.109055	415.26835	450.00804	9.2006330	0.017328468	vapor
282.50840	0.0011763844	0.00050126579	1994.9496	43.016262	45.363090	160.61493	25.696086	34.121087	415.71135	441.39410	9.2192341	0.017369683	vapor
283.13163	0.0012266876	0.00052156203	1917.3175	43.031659	45.383608	160.33965	25.705927	34.133177	416.15372	432.96966	9.2378850	0.017410985	vapor
283.75485	0.0012788761	0.00054257023	1843.0794	43.047051	45.404121	160.06592	25.715798	34.145324	416.59546	424.73105	9.2565850	0.017452374	vapor
284.37808	0.0013330098	0.00056431121	1772.0718	43.062438	45.424627	159.79374	25.725695	34.157527	417.03658	416.67461	9.2753336	0.017493852	vapor
285.00131	0.0013891504	0.00058680625	1704.1400	43.077821	45.445127	159.52308	25.735620	34.169786	417.47708	408.79671	9.2941302	0.017535418	vapor
285.62453	0.0014473608	0.00061007710	1639.1371	43.093198	45.465621	159.25395	25.745571	34.182102	417.91695	401.09378	9.3129742	0.017577071	vapor
286.24776	0.0015077057	0.00063414602	1576.9239	43.108571	45.486108	158.98632	25.755548	34.194473	418.35621	393.56228	9.3318651	0.017618814	vapor
286.87099	0.0015702515	0.00065903574	1517.3684	43.123939	45.506589	158.72019	25.765551	34.206901	418.79484	386.19873	9.3508023	0.017660644	vapor
287.49421	0.0016350660	0.00068476949	1460.3454	43.139302	45.527064	158.45555	25.775578	34.219384	419.23285	378.99966	9.3697853	0.017702564	vapor
288.11744	0.0017022190	0.00071137103	1405.7362	43.154660	45.547531	158.19238	25.785631	34.231923	419.67024	371.96168	9.3888135	0.017744573	vapor
288.74067	0.0017717816	0.00073886460	1353.4280	43.170013	45.567991	157.93067	25.795708	34.244519	420.10701	365.08141	9.4078865	0.017786671	vapor
289.36389	0.0018438269	0.00076727498	1303.3137	43.185360	45.588445	157.67042	25.805810	34.257172	420.54316	358.35553	9.4270036	0.017828858	vapor
289.98712	0.0019184298	0.00079662748	1255.2919	43.200702	45.608891	157.41162	25.815937	34.269882	420.97869	351.78079	9.4461643	0.017871135	vapor
290.61035	0.0019956668	0.00082694792	1209.2660	43.216039	45.629331	157.15424	25.826088	34.282649	421.41359	345.35393	9.4653682	0.017913503	vapor
291.23357	0.0020756164	0.00085826270	1165.1444	43.231370	45.649762	156.89829	25.836264	34.295475	421.84788	339.07180	9.4846147	0.017955960	vapor
291.85680	0.0021583588	0.00089059874	1122.8401	43.246695	45.670187	156.64375	25.846466	34.308360	422.28155	332.93124	9.5039033	0.017998508	vapor
292.48003	0.0022439762	0.00092398351	1082.2704	43.262014	45.690603	156.39061	25.856692	34.321305	422.71459	326.92919	9.5232336	0.018041147	vapor
293.10325	0.0023325526	0.00095844506	1043.3566	43.277328	45.711012	156.13886	25.866945	34.334310	423.14702	321.06260	9.5426049	0.018083877	vapor
293.72648	0.0024241741	0.00099401200	1006.0241	43.292636	45.731413	155.88849	25.877224	34.347378	423.57882	315.32847	9.5620169	0.018126699	vapor
294.34971	0.0025189286	0.0010307135	970.20168	43.307938	45.751806	155.63950	25.887529	34.360508	424.00999	309.72388	9.5814690	0.018169612	vapor
294.97293	0.0026169062	0.0010685794	935.82189	43.323233	45.772191	155.39186	25.897862	34.373702	424.44054	304.24593	9.6009608	0.018212618	vapor
295.59616	0.0027181987	0.0011076400	902.82040	43.338523	45.792568	155.14558	25.908223	34.386962	424.87046	298.89178	9.6204917	0.018255716	vapor
296.21939	0.0028229005	0.0011479263	871.13608	43.353806	45.812936	154.90064	25.918613	34.400288	425.29975	293.65862	9.6400613	0.018298907	vapor
296.84261	0.0029311075	0.0011894698	840.71072	43.369082	45.833296	154.65704	25.929033	34.413683	425.72841	288.54372	9.6596692	0.018342191	vapor
297.46584	0.0030429181	0.0012323027	811.48892	43.384352	45.853647	154.41475	25.939483	34.427147	426.15644	283.54438	9.6793148	0.018385569	vapor
298.08907	0.0031584328	0.0012764578	783.41796	43.399616	45.873989	154.17378	25.949965	34.440683	426.58384	278.65794	9.6989977	0.018429040	vapor
298.71229	0.0032777542	0.0013219686	756.44763	43.414873	45.894322	153.93411	25.960480	34.454291	427.01060	273.88182	9.7187175	0.018472606	vapor
299.33552	0.0034009873	0.0013688690	730.53009	43.430122	45.914646	153.69574	25.971028	34.467975	427.43672	269.21345	9.7384736	0.018516266	vapor
299.95875	0.0035282391	0.0014171938	705.61980	43.445365	45.934961	153.45865	25.981611	34.481735	427.86220	264.65034	9.7582657	0.018560022	vapor
300.58197	0.0036596191	0.0014669783	681.67335	43.460601	45.955266	153.22284	25.992231	34.495573	428.28704	260.19003	9.7780933	0.018603873	vapor
301.20520	0.0037952391	0.0015182584	658.64939	43.475830	45.975562	152.98829	26.002888	34.509493	428.71123	255.83011	9.7979560	0.018647820	vapor
301.82843	0.0039352131	0.0015710709	636.50849	43.491051	45.995848	152.75500	26.013583	34.523494	429.13478	251.56822	9.8178532	0.018691864	vapor
302.45165	0.0040796576	0.0016254531	615.21308	43.506265	46.016124	152.52297	26.024319	34.537581	429.55767	247.40204	9.8377847	0.018736005	vapor
